EGAN00003484455,CRC2801_Invasive2,XHC105-SI-GA-D2_S1_L004_R1_001.fastq.gz,EGAF00005798470
EGAN00003484455,CRC2801_Invasive2,XHC105-SI-GA-D2_S1_L004_R2_001.fastq.gz,EGAF00005798471
EGAN00003484456,CRC2810_Invasive1,XHC115-SI-GA-E10_S1_L006_R1_001.fastq.gz,EGAF00005798442
EGAN00003484456,CRC2810_Invasive1,XHC115-SI-GA-E10_S1_L006_R2_001.fastq.gz,EGAF00005798443
EGAN00003484457,CRC2801_Invasive1,XHC104-SI-GA-D1_S1_L003_R1_001.fastq.gz,EGAF00005798452
EGAN00003484457,CRC2801_Invasive1,XHC104-SI-GA-D1_S1_L003_R2_001.fastq.gz,EGAF00005798453
EGAN00003484458,CRC2810_Invasive2,XHC116-SI-GA-E11_S1_L007_R1_001.fastq.gz,EGAF00005798446
EGAN00003484458,CRC2810_Invasive2,XHC116-SI-GA-E11_S1_L007_R2_001.fastq.gz,EGAF00005798447
EGAN00003484459,CRC2801_Core2,XHC103-SI-GA-C12_S1_L002_R1_001.fastq.gz,EGAF00005798456
EGAN00003484459,CRC2801_Core2,XHC103-SI-GA-C12_S1_L002_R2_001.fastq.gz,EGAF00005798457
EGAN00003484460,CRC2801_Core1,XHC102-SI-GA-C11_S1_L001_R1_001.fastq.gz,EGAF00005798454
EGAN00003484460,CRC2801_Core1,XHC102-SI-GA-C11_S1_L001_R2_001.fastq.gz,EGAF00005798455
EGAN00003484461,CRC2795_Normal,XHC101-SI-GA-E2_S1_L008_R1_001.fastq.gz,EGAF00005798534
EGAN00003484461,CRC2795_Normal,XHC101-SI-GA-E2_S1_L008_R2_001.fastq.gz,EGAF00005798535
EGAN00003484462,CRC2821_Core3,XHC167-SI-GA-B9_S1_L001_R1_001.fastq.gz,EGAF00005798478
EGAN00003484462,CRC2821_Core3,XHC167-SI-GA-B9_S1_L001_R2_001.fastq.gz,EGAF00005798479
EGAN00003484463,CRC2783_Normal,XHC083-SI-GA-C2_S1_L006_R1_001.fastq.gz,EGAF00005798494
EGAN00003484463,CRC2783_Normal,XHC083-SI-GA-C2_S1_L006_R2_001.fastq.gz,EGAF00005798495
EGAN00003484464,CRC2821_Invasive2,XHC155-SI-GA-H9_S1_L006_R1_001.fastq.gz,EGAF00005798426
EGAN00003484464,CRC2821_Invasive2,XHC155-SI-GA-H9_S1_L006_R2_001.fastq.gz,EGAF00005798427
EGAN00003484465,CRC2783_LymphNode,XHC082-SI-GA-C1_S1_L005_R1_001.fastq.gz,EGAF00005798492
EGAN00003484465,CRC2783_LymphNode,XHC082-SI-GA-C1_S1_L005_R2_001.fastq.gz,EGAF00005798493
EGAN00003484466,CRC2821_Invasive3,XHC156-SI-GA-H10_S1_L007_R1_001.fastq.gz,EGAF00005798548
EGAN00003484466,CRC2821_Invasive3,XHC156-SI-GA-H10_S1_L007_R2_001.fastq.gz,EGAF00005798549
EGAN00003484467,CRC2821_Core4,XHC152-SI-GA-H8_S1_L002_R1_001.fastq.gz,EGAF00005798592
EGAN00003484467,CRC2821_Core4,XHC152-SI-GA-H8_S1_L002_R2_001.fastq.gz,EGAF00005798593
EGAN00003484468,CRC2786_Core1,XHC087-SI-GA-C6_S1_L004_R1_001.fastq.gz,EGAF00005798590
EGAN00003484468,CRC2786_Core1,XHC087-SI-GA-C6_S1_L004_R2_001.fastq.gz,EGAF00005798591
EGAN00003484469,CRC2821_Invasive1,XHC168-SI-GA-B10_S1_L002_R1_001.fastq.gz,EGAF00005798486
EGAN00003484469,CRC2821_Invasive1,XHC168-SI-GA-B10_S1_L002_R2_001.fastq.gz,EGAF00005798487
EGAN00003484470,CRC2783_Core2,XHC079-SI-GA-B10_S1_L002_R1_001.fastq.gz,EGAF00005798582
EGAN00003484470,CRC2783_Core2,XHC079-SI-GA-B10_S1_L002_R2_001.fastq.gz,EGAF00005798583
EGAN00003484471,CRC2783_Core1,XHC078-SI-GA-B9_S1_L001_R1_001.fastq.gz,EGAF00005798490
EGAN00003484471,CRC2783_Core1,XHC078-SI-GA-B9_S1_L001_R2_001.fastq.gz,EGAF00005798491
EGAN00003484472,CRC2783_Invasive2,XHC081-SI-GA-B12_S1_L004_R1_001.fastq.gz,EGAF00005798488
EGAN00003484472,CRC2783_Invasive2,XHC081-SI-GA-B12_S1_L004_R2_001.fastq.gz,EGAF00005798489
EGAN00003484473,CRC2821_Invasive4,XHC169-SI-GA-B11_S1_L003_R1_001.fastq.gz,EGAF00005798482
EGAN00003484473,CRC2821_Invasive4,XHC169-SI-GA-B11_S1_L003_R2_001.fastq.gz,EGAF00005798483
EGAN00003484474,CRC2783_Invasive1,XHC080-SI-GA-B11_S1_L003_R1_001.fastq.gz,EGAF00005798578
EGAN00003484474,CRC2783_Invasive1,XHC080-SI-GA-B11_S1_L003_R2_001.fastq.gz,EGAF00005798579
EGAN00003484475,CRC2821_LymphNode,XHC153-SI-GA-H11_S1_L003_R1_001.fastq.gz,EGAF00005798596
EGAN00003484475,CRC2821_LymphNode,XHC153-SI-GA-H11_S1_L003_R2_001.fastq.gz,EGAF00005798597
EGAN00003484476,CRC2899_Invasive2,XHC173-SI-GA-C3_S1_L007_R1_001.fastq.gz,EGAF00005798434
EGAN00003484476,CRC2899_Invasive2,XHC173-SI-GA-C3_S1_L007_R2_001.fastq.gz,EGAF00005798435
EGAN00003484477,CRC2899_Normal,XHC174-SI-GA-C4_S1_L008_R1_001.fastq.gz,EGAF00005798436
EGAN00003484477,CRC2899_Normal,XHC174-SI-GA-C4_S1_L008_R2_001.fastq.gz,EGAF00005798437
EGAN00003484478,CRC2817_Invasive4,XHC139-SI-GA-H4_S1_L007_R1_001.fastq.gz,EGAF00005798420
EGAN00003484478,CRC2817_Invasive4,XHC139-SI-GA-H4_S1_L007_R2_001.fastq.gz,EGAF00005798421
EGAN00003484479,CRC2817_LymphNode1,XHC129-SI-GA-F12_S1_L006_R1_001.fastq.gz,EGAF00005798458
EGAN00003484479,CRC2817_LymphNode1,XHC129-SI-GA-F12_S1_L006_R2_001.fastq.gz,EGAF00005798459
EGAN00003484480,CRC2817_LymphNode2,XHC130-SI-GA-G1_S1_L007_R1_001.fastq.gz,EGAF00005798460
EGAN00003484480,CRC2817_LymphNode2,XHC130-SI-GA-G1_S1_L007_R2_001.fastq.gz,EGAF00005798461
EGAN00003484481,CRC2817_Invasive1,XHC154-SI-GA-H6_S1_L005_R1_001.fastq.gz,EGAF00005798428
EGAN00003484481,CRC2817_Invasive1,XHC154-SI-GA-H6_S1_L005_R2_001.fastq.gz,EGAF00005798429
EGAN00003484482,CRC2817_Invasive2,XHC166-SI-GA-B8_S1_L004_R1_001.fastq.gz,EGAF00005798554
EGAN00003484482,CRC2817_Invasive2,XHC166-SI-GA-B8_S1_L004_R2_001.fastq.gz,EGAF00005798555
EGAN00003484483,CRC2817_Invasive3,XHC138-SI-GA-H3_S1_L006_R1_001.fastq.gz,EGAF00005798422
EGAN00003484483,CRC2817_Invasive3,XHC138-SI-GA-H3_S1_L006_R2_001.fastq.gz,EGAF00005798423
EGAN00003484484,CRC2829_Core,XHC132-SI-GA-G3_S1_L007_R1_001.fastq.gz,EGAF00005798468
EGAN00003484484,CRC2829_Core,XHC132-SI-GA-G3_S1_L007_R2_001.fastq.gz,EGAF00005798469
EGAN00003484485,CRC2829_Invasive,XHC133-SI-GA-G4_S1_L008_R1_001.fastq.gz,EGAF00005798526
EGAN00003484485,CRC2829_Invasive,XHC133-SI-GA-G4_S1_L008_R2_001.fastq.gz,EGAF00005798527
EGAN00003484486,CRC2821_Normal,XHC157-SI-GA-H12_S1_L008_R1_001.fastq.gz,EGAF00005798552
EGAN00003484486,CRC2821_Normal,XHC157-SI-GA-H12_S1_L008_R2_001.fastq.gz,EGAF00005798553
EGAN00003484487,CRC2841_T1LymphNode,XHC149-SI-GA-A8_S1_L001_R1_001.fastq.gz,EGAF00005798528
EGAN00003484487,CRC2841_T1LymphNode,XHC149-SI-GA-A8_S1_L001_R2_001.fastq.gz,EGAF00005798529
EGAN00003484488,CRC2841_Normal,XHC144-SI-GA-A10_S1_L004_R1_001.fastq.gz,EGAF00005798584
EGAN00003484488,CRC2841_Normal,XHC144-SI-GA-A10_S1_L004_R2_001.fastq.gz,EGAF00005798585
EGAN00003484489,CRC2817_Normal,XHC131-SI-GA-G2_S1_L008_R1_001.fastq.gz,EGAF00005798466
EGAN00003484489,CRC2817_Normal,XHC131-SI-GA-G2_S1_L008_R2_001.fastq.gz,EGAF00005798467
EGAN00003484490,CRC2841_T1Invasive,XHC143-SI-GA-A3_S1_L003_R1_001.fastq.gz,EGAF00005798580
EGAN00003484490,CRC2841_T1Invasive,XHC143-SI-GA-A3_S1_L003_R2_001.fastq.gz,EGAF00005798581
EGAN00003484491,CRC2821_Core1,XHC140-SI-GA-H5_S1_L008_R1_001.fastq.gz,EGAF00005798498
EGAN00003484491,CRC2821_Core1,XHC140-SI-GA-H5_S1_L008_R2_001.fastq.gz,EGAF00005798499
EGAN00003484492,CRC2821_Core2,XHC151-SI-GA-H7_S1_L001_R1_001.fastq.gz,EGAF00005798564
EGAN00003484492,CRC2821_Core2,XHC151-SI-GA-H7_S1_L001_R2_001.fastq.gz,EGAF00005798565
EGAN00003484493,CRC2811_Core2,XHC119-SI-GA-F2_S1_L002_R1_001.fastq.gz,EGAF00005798504
EGAN00003484493,CRC2811_Core2,XHC119-SI-GA-F2_S1_L002_R2_001.fastq.gz,EGAF00005798505
EGAN00003484494,CRC2795_Invasive2,XHC100-SI-GA-E1_S1_L007_R1_001.fastq.gz,EGAF00005798586
EGAN00003484494,CRC2795_Invasive2,XHC100-SI-GA-E1_S1_L007_R2_001.fastq.gz,EGAF00005798587
EGAN00003484495,CRC2811_Invasive1,XHC120-SI-GA-F3_S1_L003_R1_001.fastq.gz,EGAF00005798500
EGAN00003484495,CRC2811_Invasive1,XHC120-SI-GA-F3_S1_L003_R2_001.fastq.gz,EGAF00005798501
EGAN00003484496,CRC2795_Invasive1,XHC099-SI-GA-D12_S1_L006_R1_001.fastq.gz,EGAF00005798440
EGAN00003484496,CRC2795_Invasive1,XHC099-SI-GA-D12_S1_L006_R2_001.fastq.gz,EGAF00005798441
EGAN00003484497,CRC2811_Invasive2,XHC121-SI-GA-F4_S1_L004_R1_001.fastq.gz,EGAF00005798448
EGAN00003484497,CRC2811_Invasive2,XHC121-SI-GA-F4_S1_L004_R2_001.fastq.gz,EGAF00005798449
EGAN00003484498,CRC2795_Core2,XHC098-SI-GA-D11_S1_L008_R1_001.fastq.gz,EGAF00005798438
EGAN00003484498,CRC2795_Core2,XHC098-SI-GA-D11_S1_L008_R2_001.fastq.gz,EGAF00005798439
EGAN00003484499,CRC2811_Normal,XHC122-SI-GA-F5_S1_L005_R1_001.fastq.gz,EGAF00005798444
